dataset,file,row_count,source,status
alwaysfurther/deepfabric-7k-medical-multi-turn-conversation,data/derived/deepfabric_medical_multi_turn/alwaysfurther__deepfabric-7k-medical-multi-turn-conversation.jsonl,7570,https://huggingface.co/datasets/alwaysfurther/deepfabric-7k-medical-multi-turn-conversation,downloaded
HiTZ/MedExpQA,data/derived/medexpqa_en/HiTZ__MedExpQA.jsonl,434,https://huggingface.co/datasets/HiTZ/MedExpQA,downloaded
casey-martin/MedInstruct,data/derived/medinstruct/casey-martin__MedInstruct.jsonl,52002,https://huggingface.co/datasets/casey-martin/MedInstruct,downloaded
OctoMed/MedXpertQA-Text,data/derived/medxpertqa_text/OctoMed__MedXpertQA-Text.jsonl,2450,https://huggingface.co/datasets/OctoMed/MedXpertQA-Text,downloaded
huzaifa525/Medical_Intelligence_Dataset_76k_2026_Edition,data/derived/medical_intelligence_76k/huzaifa525__Medical_Intelligence_Dataset_76k_2026_Edition.jsonl,76000,https://huggingface.co/datasets/huzaifa525/Medical_Intelligence_Dataset_76k_2026_Edition,downloaded
nuhmanpk/firstaid-treatment-instruct,data/derived/firstaid_treatment_instruct/nuhmanpk__firstaid-treatment-instruct.jsonl,71037,https://huggingface.co/datasets/nuhmanpk/firstaid-treatment-instruct,downloaded
BirdieByte1024/stage1-doctor-patient-chat,data/derived/stage1_doctor_patient_chat/BirdieByte1024__stage1-doctor-patient-chat.jsonl,482,https://huggingface.co/datasets/BirdieByte1024/stage1-doctor-patient-chat,downloaded
ANR-MALADES/MediQAl,data/derived/mediqal_mcqu/ANR-MALADES__MediQAl.jsonl,10000,https://huggingface.co/datasets/ANR-MALADES/MediQAl,downloaded
ANR-MALADES/MediQAl:mcqm,data/derived/mediqal_mcqm/ANR-MALADES__MediQAl.jsonl,5767,https://huggingface.co/datasets/ANR-MALADES/MediQAl,downloaded
ANR-MALADES/MediQAl:oeq,data/derived/mediqal_oeq/ANR-MALADES__MediQAl.jsonl,4969,https://huggingface.co/datasets/ANR-MALADES/MediQAl,downloaded
OctoMed/MedQA-4options,data/derived/medqa_4options/OctoMed__MedQA-4options.jsonl,1273,https://huggingface.co/datasets/OctoMed/MedQA-4options,downloaded
raidium/ECN-QA,data/derived/ecn_qa_english/raidium__ECN-QA.jsonl,648,https://huggingface.co/datasets/raidium/ECN-QA,downloaded
Fadil369/medical-o1-reasoning-SFT:en,data/derived/medical_o1_reasoning_en/Fadil369__medical-o1-reasoning-SFT.jsonl,19704,https://huggingface.co/datasets/Fadil369/medical-o1-reasoning-SFT,downloaded
Fadil369/medical-o1-reasoning-SFT:en_mix,data/derived/medical_o1_reasoning_en_mix/Fadil369__medical-o1-reasoning-SFT.jsonl,24887,https://huggingface.co/datasets/Fadil369/medical-o1-reasoning-SFT,downloaded
